url,creation_date,scraped_date,full_address,street,zip_code,district,housing_type,size,number_of_rooms,floor,rental_period,available_from,summary,monthly_rent,aconto,deposit,prepaid_rent,occupancy_price,total_monthly_cost,months_of_prepaid_rent,months_of_deposit,is_furnished,is_shareable,pets_allowed,has_elevator,students_only,has_balcony,has_parking
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/86m2-3-vaer-id-5145401,11/05/2021,11/06/2021,"Else Alfelts Vej, 2300 København, København S  - 6. sal",Else Alfelts Vej,2300,København S,Apartment,86.0,3,6,Unlimited,02/01/2022,The lease is located on Else Alfell's road and consists of 3 rooms as well as kitchen and bath. The lease is 86 m2 and is ready for acquisition 01-02-2022. Monthly rent is 13500 kr. And prepaid rent and deposit amounts to a total of 40500 kr. Send a message if the lease has caught your interest.,13500,1100,27000,13500,55100,14600,1,2,0,0,1,1,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/86m2-3-vaer-id-5237873,11/03/2021,11/06/2021,"Njalsgade, 2300 København, København S  - 5. sal",Njalsgade,2300,København S,Apartment,86.0,3,5,Unlimited,12/15/2021,"We now have the pleasure of offering this beautiful 3-bedroom at Njalsgade, 5. When you enter the home, beautiful raw materials are offered, and delicious gray shades in both the delicious kitchen and bathroom. The home consists of 2 good bedrooms, a well utilized kitchen with good closet space, a large living room with room for the very large U-sofa as well as access to a beautiful balcony from the living room. The homes suitable for both singles, couples and families.Gunhildgård is located In the new attractive district of Brew's Bastion - a green living quarters at Islands Brygge. The neighborhood is for you who prefer high quality architecture, varied urban nature and an active community in the middle of the city's pulse. You will find purchases just around the corner and metro in walking distance. In this property, you get mixed other following: - Floor heating in all room-raw concrete walls Gray modern kitchens from HTH- Alt in hard white goods communal courtyard as well as 3 roof terraces close to purchases and Metrocular for occupancy 15.12.21House animals: Not allowed. * Note that the images are not necessarily taken by the opportunity, and that view etc. Therefore, vary.",15200,950,45600,15200,76950,16150,1,3,0,1,0,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/93m2-4-vaer-id-5185813,10/25/2021,11/06/2021,"Ejler Billes Allé, 2300 København, København S  - 2. sal",Ejler Billes Allé,2300,København S,Apartment,93.0,4,2,Unlimited,11/06/2021,"The arena houses consist of a total of 55 apartments spread over 3 properties. This apartment is located in the yarn tower which goes up to the 8th floor. The apartments are bright and spacious and are in size 59-144 m2. Here you can enjoy the peace, prospect and community in the Arenakvæstet.Arenhausene is centrally and attractive in Ørestad South. The location in direct relation to Kalvebod Fælled and near the metro to Copenhagen city center, creates a special residential area that caters to an aged-wide audience. The neighborhood adds to becoming a city district filled with contrasts. From Kalvebod joints almost endless nature in the east and to the architectural houses and modern urban expressions against the west.The apartments offer: - Spacious kitchen / dining area with integrated hard-appliances inviting balcony heating in all rooms - wardrobes in entrance and all bedrooms Bathroom with washing column depot room option to have one livestock per. Apartment note that it is not possible to use the apartment as a share residence. * Please note that the images are not necessarily taken by the residence in question and to view M.V. Therefore, vary. Open House: - Sunday, November 7, 2021, at. 13: 15-13: 30Obs: Please keep updated as there may be changes.",12895,1000,38685,12895,65475,13895,1,3,0,0,1,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/106m2-4-vaer-id-5235974,10/27/2021,11/06/2021,"Glostervej, 2500 København, Valby  - 1. sal",Glostervej,2500,Valby,Apartment,106.0,4,1,Unlimited,12/01/2021,"Welcome within the Filippaven in Valby.Filippaven contains 59 apartments of between 77 and 138 m² in the part of the Filipphaven which is a storey property. The size and decor caters both for families and to students who want to share an apartment. In addition, Filipphaven also contains 24 Town Houses in 2-3 level between 113 - 157, which is fully as sub-friendly. Most with private roof terrace. Exemption is granted to keep livestock against the landlord approval.Filippaven is built at the end of 2017. So there is a property that in style, interior design and material choice is state-of-the-art. Most apartments have access to the rooftop terrace or balcony. The apartments appear with classic white cuisines, and bright living rooms and rooms with plenty of closet space. Here are underfloor heating throughout both the beautiful wooden floors and the gray tiled floors in the bathroom. It is not possible to rent an apartment in the property if you are registered in Rki.filippa Haven located in the exciting new neighborhood that shoots around the Grønttorvet. Here you get good room and all modern conveniences with the rest of Copenhagen within easy reach and a unique atmosphere in the surrounding distinctive Valby, which does not leave inner city something after.The old Valby has a very special village atmosphere, as you on many Ways have chosen to continue in the new neighborhood around Grønttorvet. Here is emphasis on the Community. Green areas and common activities make a special identity that resident in Valby.man lives in a way a little withdrawn without losing any of the big city's offer and pulse. It is actually all within cycling distance.Filippa The garden is named after a beautiful and tasty apple - like many of the area's roads. It was here you downloaded fresh apples and other fruit as well as the vegetables every morning in a jumble of covered stalls. Still, Growth meant that Grønttorvet, who had been in Valby since 1958, moved to high toestrup. Thus, there was room for a diversity of new construction, which celebrates the area's original purpose.Valby is one of Copenhagen's most green areas. In Valby Park you experience wild nature, well-groomed park, forest and impressive Temahaver. And you will have it all overall, then the shopping center is the spinning room. Here there is always a cozy atmosphere with lots of activities for children and adults. The materials are carefully selected both in order to create a building process where unnecessary resource-intensive operations are minimized and on long life with low maintenance costs. At the same time, sustainability is ensured by the fact that the vast majority of construction will either be recycled or disposed of environmentally sound if the construction must once be torn down again. They are all braided together by a very varied structure of townhouses and ranges around an inner courtyard from which they have their primary access. The buildings strongly strongly with a quiet facade expression with a varied shadow game over the day and the year, also has a common room that appears open and welcoming with a large window section. Each entrance also has an entrance room with room for mailboxes, messages and private reading of electricity.",14250,0,42750,14250,71250,14250,1,3,0,1,0,1,0,1,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/98m2-4-vaer-id-4900788,11/05/2021,11/06/2021,"Asger Jorns Allé, 2300 København, København S  - 5. sal",Asger Jorns Allé,2300,København S,Apartment,98.0,4,5,Unlimited,11/06/2021,The lease is located on Asger Jorns Allé and consists of 4 rooms as well as kitchen and bath. The lease is 98 m2 and is ready for acquisition soon. Monthly rent is DKK 14200 and pre-paid rent and deposit amounts to a total of DKK 42600. Send a message if the lease has caught your interest.,14200,1200,28400,14200,58000,15400,1,2,0,0,1,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/98m2-4-vaer-id-5238666,11/05/2021,11/06/2021,"Asger Jorns Allé, 2300 København, København S  - 4. sal",Asger Jorns Allé,2300,København S,Apartment,98.0,4,4,Unlimited,12/15/2021,The lease is located on Asger Jorns Allé and consists of 4 rooms as well as kitchen and bath. The lease is 98 m2 and is ready for acquisition 15-12-2021. Monthly rent is 14100 kr. And prepaid rent and deposit amounts to a total of DKK 42300. Send a message if the lease has caught your interest.,14100,1200,28200,14100,57600,15300,1,2,0,0,1,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/97m2-4-vaer-id-5237930,11/03/2021,11/06/2021,"Krimsvej, 2300 København, København S  - 2. sal",Krimsvej,2300,København S,Apartment,97.0,4,2,Unlimited,02/01/2022,"Welcome to this amazing area on Amager Beach, which offers numerous options. Here you are close to the popular Amager beach, shopping, fitness, restaurants and metro. In recent years, the Eastern Amager has been through a fascinating transformation focusing on freedom, green areas, community with room for individuality and a perfect balance between conservation and renewal. Shops, cafes, expansion of school and childcare facilities are just around the corner and with a minute to the metro, you are secured fast transport open house: - Wednesday, November 10, 2021, Kl. 15: 00-15: 15Obs: Please keep updated as there may be changes.",13895,1100,41685,13895,70575,14995,1,3,0,0,0,0,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/87m2-3-vaer-id-5046623,11/01/2021,11/06/2021,"Strandlodsvej, 2300 København, København S  - 4. sal",Strandlodsvej,2300,København S,Apartment,87.0,3,4,Unlimited,02/01/2022,The lease is located on Strandlodsvej and consists of 3 rooms as well as kitchen and bath. The lease is 87 m2 and is ready for acquisition 01-02-2022. Monthly rent is 14000 kr. And prepaid rent and deposit amounts to a total of DKK 42000. Send a message if the lease has caught your interest.,14000,1000,28000,14000,57000,15000,1,2,0,0,1,1,0,0,0
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/124m2-3-vaer-id-5236734,10/30/2021,11/06/2021,"Dexter Gordons Vej, 2450 København, København SV  - 2. sal",Dexter Gordons Vej,2450,København SV,Apartment,124.0,3,2,12-23 months,12/15/2021,"Lovely apartment in Sluseholmen with private roof terrace and parking in locked p-basement! The apartment, which is 124 sqm in 2-level is extremely well maintained, light and inviting everywhere. ADDITION: Large entrance with staircase to upper floor and fine with wardrobe space, 2 good bedrooms with cupboards as well as delicious bathroom with shower and closet space, good storage room / walk in closet. An exciting upper floor with nice light from the large windows overlooking the canal and not least the roof windows, openly nice kitchen with everything in appliances, living room with access to a balcony from which there is access to the beautiful private roof terrace where summer can be enjoyed in full . There are underfloor heating throughout the apartment and parquet floors in all accommodations. There is a right of use of parking in locked p-cellar with elevator. Cozy courtyard. The apartment is located in a wonderful residential area, which is in an exciting and rapid development. One of the best located ""islands"" in the area - close to net, save, Irma and harbor basins, etc.: 15/12/2021 - 7/2023 with the possibility of extension housing: 15.200 A / C Consumption (water, heat, Electricity): 1,000 security deposit: 30.400 pre-paid rent: 15.200",15200,1000,30400,15200,61800,16200,1,2,0,0,1,1,0,1,1
https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/74m2-3-vaer-id-5238475,11/04/2021,11/06/2021,"Henrik Ibsens Vej, 1813 København, Frederiksberg C  - 3. sal",Henrik Ibsens Vej,1813,Frederiksberg C,Apartment,74.0,3,3,12-23 months,01/03/2022,Rented at 31 / 7-2023 (1 year and 7 months).,14500,700,43500,0,58700,15200,0,3,1,0,0,0,0,1,0
